date,user_id,power_consumption,low_temp,high_temp,kind,wind,level,holiday
2015/4/2,1,499,19,11,66,8,3,1
2015/4/3,1,576,14,10,94,3,4,0
2015/4/4,1,504,13,10,52,8,13,0
2015/4/5,1,75,11,7,5,4,7,0
2015/4/6,1,569,7,4,46,1,7,0
2015/4/7,1,691,12,2,78,10,13,0
2015/4/8,1,615,15,3,14,3,2,0
2015/4/9,1,536,17,6,61,3,13,0
2015/4/10,1,366,19,7,14,4,2,0
2015/4/11,1,659,21,9,27,3,2,0
2015/4/12,1,583,13,7,27,8,10,0
2015/4/13,1,626,19,6,81,10,11,0
2015/4/14,1,609,23,10,58,9,6,0
2015/4/15,1,629,21,13,78,9,2,0
2015/4/16,1,659,22,10,61,2,6,0
2015/4/17,1,585,26,15,66,2,7,0
2015/4/18,1,481,24,16,84,4,2,1
2015/4/19,1,99,17,10,12,4,7,0
2015/4/20,1,626,20,8,14,7,13,0
2015/4/21,1,618,24,8,25,5,13,0
2015/4/22,1,593,26,12,14,2,2,1
2015/4/23,1,572,27,13,14,2,13,0
2015/4/24,1,590,27,13,25,9,13,0
2015/4/25,1,575,28,14,58,7,13,0
2015/4/26,1,315,28,15,61,2,6,0
2015/4/27,1,453,29,18,84,5,13,0
2015/4/28,1,437,22,17,100,7,2,1
2015/4/29,1,555,25,14,14,10,13,1
2015/4/30,1,475,27,14,61,3,13,2
2015/5/1,1,77,20,16,43,3,13,0
2015/5/2,1,79,25,15,78,8,2,0
2015/5/3,1,520,24,15,14,7,13,0
2015/5/4,1,590,24,12,78,2,4,0
2015/5/5,1,542,23,15,66,2,2,0
2015/5/6,1,584,27,16,14,2,13,0
2015/5/7,1,407,27,17,14,4,2,0
2015/5/8,1,441,26,15,14,9,2,1
2015/5/9,1,394,26,15,14,9,2,1
2015/5/10,1,285,26,15,14,9,2,1
2015/5/11,1,632,26,15,14,9,2,0
2015/5/12,1,492,26,15,14,9,2,1
2015/5/13,1,407,29,20,60,2,2,0
2015/5/14,1,574,31,22,16,9,2,0
2015/5/15,1,544,25,16,41,1,2,0
2015/5/16,1,518,24,15,14,2,2,0
2015/5/17,1,90,26,18,23,2,2,0
2015/5/18,1,449,25,17,48,2,2,0
2015/5/19,1,505,29,19,14,2,2,0
2015/5/20,1,381,27,15,14,2,2,0
2015/5/21,1,455,25,15,60,2,2,1
2015/5/22,1,362,28,18,58,1,2,1
2015/5/23,1,302,26,18,67,1,2,0
2015/5/24,1,437,27,19,14,1,2,0
2015/5/25,1,462,29,19,59,1,2,1
2015/5/26,1,408,27,20,15,2,2,0
2015/5/27,1,400,22,17,85,1,2,2
2015/5/28,1,436,27,20,66,2,2,0
2015/5/29,1,304,23,20,0,1,2,2
2015/5/30,1,444,26,19,19,1,2,0
2015/5/31,1,71,27,19,14,2,2,0
2015/6/1,1,467,31,23,23,2,2,0
2015/6/2,1,448,25,19,65,1,2,0
2015/6/3,1,495,26,16,74,2,2,1
2015/6/4,1,557,26,19,14,8,2,0
2015/6/5,1,93,28,19,58,9,2,0
2015/6/6,1,738,32,21,14,2,2,2
2015/6/7,1,335,27,21,102,1,2,0
2015/6/8,1,549,27,20,66,9,2,0
2015/6/9,1,438,29,22,66,2,2,0
2015/6/10,1,549,28,21,70,2,2,0
2015/6/11,1,563,33,22,14,9,2,1
2015/6/12,1,495,34,23,60,9,2,0
2015/6/13,1,510,33,25,14,9,2,1
2015/6/14,1,155,32,23,20,1,2,1
2015/6/15,1,597,28,21,101,2,2,1
2015/6/16,1,484,21,18,33,1,2,0
2015/6/17,1,474,22,18,50,1,2,0
2015/6/18,1,423,28,19,14,2,2,1
2015/6/19,1,565,29,21,14,2,2,0
2015/6/20,1,378,30,21,20,1,2,1
2015/6/21,1,359,26,21,85,2,2,0
2015/6/22,1,601,26,21,66,2,2,0
2015/6/23,1,572,25,23,89,2,2,1
2015/6/24,1,472,26,22,49,1,2,0
2015/6/25,1,642,30,23,69,8,2,1
2015/6/26,1,497,26,21,102,2,2,0
2015/6/27,1,375,23,19,63,2,2,1
2015/6/28,1,87,24,21,1,2,2,0
2015/6/29,1,433,24,21,34,2,2,2
2015/6/30,1,445,27,21,1,2,2,0
2015/7/1,1,527,29,21,19,9,2,0
2015/7/2,1,570,32,23,14,9,2,0
2015/7/3,1,673,30,21,14,2,2,0
2015/7/4,1,669,28,19,66,2,2,0
2015/7/5,1,394,28,19,66,2,2,1
2015/7/6,1,546,22,18,47,1,2,1
2015/7/7,1,462,24,19,101,1,2,0
2015/7/8,1,420,24,20,40,1,2,0
2015/7/9,1,569,27,22,66,1,2,0
2015/7/10,1,686,31,24,75,1,2,0
2015/7/11,1,541,27,23,31,1,2,0
2015/7/12,1,120,29,23,70,2,2,0
2015/7/13,1,723,35,25,14,2,2,0
2015/7/14,1,706,35,25,60,2,2,2
2015/7/15,1,824,32,24,14,1,2,0
2015/7/16,1,673,29,23,98,2,2,0
2015/7/17,1,726,25,22,5,2,2,1
2015/7/18,1,691,27,23,94,2,2,1
2015/7/19,1,498,26,24,32,2,2,0
2015/7/20,1,571,28,24,66,2,2,1
2015/7/21,1,695,30,24,14,2,2,1
2015/7/22,1,587,31,25,20,2,2,0
2015/7/23,1,683,31,25,94,2,2,1
2015/7/24,1,704,28,24,5,9,2,2
2015/7/25,1,630,29,25,9,2,2,0
2015/7/26,1,137,32,26,96,9,2,0
2015/7/27,1,657,35,27,14,9,2,0
2015/7/28,1,874,36,27,19,9,2,1
2015/7/29,1,785,37,28,14,9,2,0
2015/7/30,1,794,35,27,60,9,2,0
2015/7/31,1,775,35,27,58,8,2,0
2015/8/1,1,847,35,27,70,2,2,0
2015/8/2,1,689,37,28,58,9,2,0
2015/8/3,1,1060,37,28,58,9,2,0
2015/8/4,1,1014,37,28,58,9,2,2
2015/8/5,1,947,37,28,14,2,2,1
2015/8/6,1,997,35,26,14,2,2,1
2015/8/7,1,1014,34,26,14,2,2,1
2015/8/8,1,805,33,26,22,1,2,0
2015/8/9,1,216,30,25,98,1,2,0
2015/8/10,1,564,28,24,65,2,2,1
2015/8/11,1,524,28,23,70,8,2,0
2015/8/12,1,757,31,23,14,2,2,0
2015/8/13,1,804,30,23,14,2,2,2
2015/8/14,1,785,32,23,14,2,2,0
2015/8/15,1,761,30,24,66,2,2,2
2015/8/16,1,504,30,23,19,2,2,0
2015/8/17,1,763,31,24,14,2,2,1
2015/8/18,1,727,30,23,14,1,2,2
2015/8/19,1,825,30,24,71,2,2,1
2015/8/20,1,700,26,23,90,6,2,1
2015/8/21,1,609,29,23,70,1,2,0
2015/8/22,1,495,28,21,66,2,2,0
2015/8/23,1,460,28,21,66,1,2,2
2015/8/24,1,539,24,20,38,8,2,0
2015/8/25,1,570,29,21,14,1,2,0
2015/8/26,1,665,30,22,14,9,2,2
2015/8/27,1,783,30,22,88,2,2,1
2015/8/28,1,144,30,22,14,2,2,0
2015/8/29,1,766,31,22,14,2,2,0
2015/8/30,1,458,31,22,14,2,2,0
2015/8/31,1,756,30,22,14,1,2,1
2015/9/1,1,703,29,22,96,1,2,0
2015/9/2,1,637,30,22,14,8,2,0
2015/9/3,1,136,29,22,14,2,2,0
2015/9/4,1,704,30,23,69,1,2,0
2015/9/5,1,627,28,22,70,8,2,0
2015/9/6,1,727,28,21,14,1,2,0
2015/9/7,1,531,28,21,14,1,2,1
2015/9/8,1,472,28,20,14,1,2,0
2015/9/9,1,571,28,19,60,1,2,0
2015/9/10,1,783,28,20,60,2,2,0
2015/9/11,1,805,27,20,21,8,2,1
2015/9/12,1,681,24,16,70,8,2,0
2015/9/13,1,649,25,17,14,1,2,0
2015/9/14,1,613,26,20,14,2,2,0
2015/9/15,1,620,26,18,70,2,2,0
2015/9/16,1,586,27,18,19,1,2,0
2015/9/17,1,493,26,18,14,8,2,0
2015/9/18,1,692,27,19,14,1,2,0
2015/9/19,1,619,28,20,14,2,2,0
2015/9/20,1,144,26,19,19,2,2,0
2015/9/21,1,629,27,20,14,2,2,0
2015/9/22,1,585,26,21,89,9,2,1
2015/9/23,1,510,26,19,14,8,2,0
2015/9/24,1,551,26,20,18,1,2,1
2015/9/25,1,662,27,19,70,1,2,2
2015/9/26,1,579,28,18,19,1,2,0
2015/9/27,1,122,27,18,58,1,2,1
2015/9/28,1,582,27,20,21,1,2,0
2015/9/29,1,499,25,21,85,1,2,1
2015/9/30,1,515,26,19,86,2,2,2
2015/10/1,1,108,23,14,19,8,2,0
2015/10/2,1,92,24,15,58,2,2,2
2015/10/3,1,319,25,17,14,2,2,0
2015/10/4,1,417,25,19,18,9,2,0
2015/10/5,1,362,23,18,70,2,2,0
2015/10/6,1,486,24,19,75,2,2,0
2015/10/7,1,356,22,18,85,1,2,1
2015/10/8,1,422,19,15,70,1,2,0
2015/10/9,1,199,22,12,19,9,2,0
2015/10/10,1,97,23,10,60,8,2,0
2015/10/11,1,101,20,10,58,2,2,1
2015/10/12,1,366,22,11,58,2,2,0
2015/10/13,1,507,24,13,60,2,2,0
2015/10/14,1,447,24,13,14,2,2,0
2015/10/15,1,617,25,14,58,9,2,0
2015/10/16,1,642,26,15,58,2,2,0
2015/10/17,1,508,26,14,58,2,2,2
2015/10/18,1,440,25,14,60,1,2,0
2015/10/19,1,544,24,15,14,2,2,0
2015/10/20,1,533,25,16,14,2,2,1
2015/10/21,1,640,25,16,14,1,2,0
2015/10/22,1,530,25,16,14,1,2,0
2015/10/23,1,616,25,17,14,1,2,0
2015/10/24,1,372,25,17,14,1,2,0
2015/10/25,1,293,23,16,20,2,2,1
2015/10/26,1,583,24,14,46,8,2,0
2015/10/27,1,630,19,11,14,9,2,0
2015/10/28,1,646,20,12,66,2,2,0
2015/10/29,1,630,18,12,70,8,2,0
2015/10/30,1,566,18,10,14,1,2,0
2015/10/31,1,646,17,11,21,8,2,2
2015/11/1,1,279,17,8,19,9,2,0
2015/11/2,1,488,18,8,58,2,2,0
2015/11/3,1,551,20,11,14,2,2,1
2015/11/4,1,493,21,14,66,2,2,1
2015/11/5,1,450,23,16,73,2,2,0
2015/11/6,1,121,26,19,85,2,2,0
2015/11/7,1,540,17,12,89,8,2,0
2015/11/8,1,258,13,9,88,8,2,1
2015/11/9,1,525,13,8,14,1,2,1
2015/11/10,1,469,15,9,14,2,2,1
2015/11/11,1,531,16,10,66,1,2,0
2015/11/12,1,687,16,13,46,9,2,1
2015/11/13,1,566,16,12,66,8,2,0
2015/11/14,1,383,17,10,14,2,2,0
2015/11/15,1,102,18,11,69,3,2,0
2015/11/16,1,451,17,13,73,1,2,0
2015/11/17,1,614,15,12,46,1,2,0
2015/11/18,1,625,15,11,49,1,2,0
2015/11/19,1,626,14,11,50,1,2,1
2015/11/20,1,441,16,11,66,2,2,0
2015/11/21,1,437,16,13,75,1,2,0
2015/11/22,1,344,17,14,46,1,2,0
2015/11/23,1,599,16,10,46,1,2,0
2015/11/24,1,574,11,3,49,8,2,0
2015/11/25,1,691,5,0,19,8,2,0
2015/11/26,1,625,3,-4,58,8,2,0
2015/11/27,1,671,5,-2,60,2,2,0
2015/11/28,1,597,12,3,20,1,2,0
2015/11/29,1,112,16,6,19,2,2,0
2015/11/30,1,605,15,5,14,2,2,1
2015/12/1,1,438,17,10,20,8,2,0
2015/12/2,1,502,12,3,19,8,2,0
2015/12/3,1,519,10,0,58,8,2,1
2015/12/4,1,469,9,2,60,9,2,0
2015/12/5,1,476,8,4,85,9,2,1
2015/12/6,1,361,10,2,14,2,2,0
2015/12/7,1,332,12,3,58,2,2,0
2015/12/8,1,361,13,6,14,2,2,0
2015/12/9,1,350,12,8,46,1,2,2
2015/12/10,1,401,12,7,70,8,2,0
2015/12/11,1,389,10,1,14,1,2,1
2015/12/12,1,305,10,2,60,1,2,0
2015/12/13,1,106,9,3,20,8,2,0
2015/12/14,1,432,10,4,66,8,2,0
2015/12/15,1,367,10,0,19,8,2,0
2015/12/16,1,429,6,-3,58,8,2,0
2015/12/17,1,267,5,-3,58,9,2,1
2015/12/18,1,356,6,-2,14,2,2,1
2015/12/19,1,343,9,2,73,2,2,0
2015/12/20,1,335,8,2,50,8,2,0
2015/12/21,1,373,8,0,20,2,2,1
2015/12/22,1,68,11,6,66,8,2,1
2015/12/23,1,381,10,7,73,1,2,0
2015/12/24,1,421,10,4,50,8,2,0
2015/12/25,1,349,10,2,19,9,2,0
2015/12/26,1,353,14,4,60,9,2,0
2015/12/27,1,239,9,1,70,1,2,0
2015/12/28,1,334,6,-1,14,1,2,0
2015/12/29,1,213,9,0,14,2,2,0
2015/12/30,1,228,11,0,58,8,2,0
2015/12/31,1,113,9,-1,58,1,2,0
2016/1/1,1,60,11,2,14,2,2,0
2016/1/2,1,57,15,7,20,2,2,0
2016/1/3,1,102,16,7,20,2,2,0
2016/1/4,1,179,13,7,49,1,2,0
2016/1/5,1,401,10,5,50,1,2,0
2016/1/6,1,359,8,3,70,8,2,1
2016/1/7,1,271,6,-1,70,8,2,0
2016/1/8,1,364,7,-1,60,1,2,1
2016/1/9,1,384,9,-1,20,2,2,0
2016/1/10,1,263,10,4,46,1,2,0
2016/1/11,1,351,8,1,91,1,2,0
2016/1/12,1,286,3,-3,56,8,2,0
2016/1/13,1,405,4,-2,14,9,2,0
2016/1/14,1,406,7,-2,14,9,2,1
2016/1/15,1,430,8,-2,58,2,2,0
2016/1/16,1,390,10,1,18,1,2,1
2016/1/17,1,109,8,0,48,1,2,0
2016/1/18,1,377,3,-4,58,8,2,0
2016/1/19,1,436,3,-4,14,1,2,0
2016/1/20,1,437,3,-2,68,1,2,0
2016/1/21,1,416,2,-2,92,1,2,1
2016/1/22,1,420,3,-4,55,1,2,0
2016/1/23,1,407,-3,-10,70,8,2,1
2016/1/24,1,381,-6,-10,58,8,2,1
2016/1/25,1,429,2,-8,58,9,2,0
2016/1/26,1,444,6,-4,20,9,2,1
2016/1/27,1,465,8,-1,18,2,2,0
2016/1/28,1,450,6,3,46,1,2,1
2016/1/29,1,376,5,1,50,1,2,0
2016/1/30,1,178,5,-1,70,1,2,2
2016/1/31,1,340,4,-2,92,1,2,0
2016/2/1,1,101,2,-5,14,8,2,1
2016/2/2,1,104,5,-4,14,1,2,0
2016/2/3,1,81,7,-3,60,1,2,0
2016/2/4,1,90,7,-2,14,2,2,0
2016/2/5,1,65,9,-2,20,8,2,1
2016/2/6,1,64,7,-3,58,8,2,1
2016/2/7,1,42,10,-2,19,8,2,0
2016/2/8,1,34,15,2,58,9,2,0
2016/2/9,1,49,17,2,60,2,2,0
2016/2/10,1,45,20,7,20,2,2,1
2016/2/11,1,47,18,11,99,2,2,0
2016/2/12,1,44,18,11,87,1,2,0
2016/2/13,1,47,14,1,50,8,2,0
2016/2/14,1,41,6,-3,70,8,2,0
2016/2/15,1,65,7,-2,58,8,2,2
2016/2/16,1,326,10,0,58,8,2,0
2016/2/17,1,322,12,2,14,2,2,0
2016/2/18,1,277,16,3,60,2,2,1
2016/2/19,1,359,13,3,66,2,2,0
2016/2/20,1,373,11,-1,19,2,2,0
2016/2/21,1,122,10,2,72,2,2,0
2016/2/22,1,356,7,4,50,1,2,0
2016/2/23,1,382,11,1,70,1,2,0
2016/2/24,1,363,9,0,58,2,2,2
2016/2/25,1,388,12,2,14,2,2,0
2016/2/26,1,411,17,4,14,9,2,0
2016/2/27,1,332,19,8,60,9,2,1
2016/2/28,1,329,17,2,70,1,2,1
2016/2/29,1,388,10,-1,58,1,2,0
2016/3/1,1,301,13,1,60,2,2,0
2016/3/2,1,313,16,7,14,2,2,0
2016/3/3,1,361,16,9,90,2,2,0
2016/3/4,1,328,19,12,90,1,2,0
2016/3/5,1,388,21,11,70,1,2,0
2016/3/6,1,99,19,10,14,2,2,0
2016/3/7,1,272,16,6,18,1,2,2
2016/3/8,1,304,9,1,1,1,2,1
2016/3/9,1,302,7,1,66,1,2,0
2016/3/10,1,307,8,-1,19,1,2,1
2016/3/11,1,316,11,1,19,9,2,0
2016/3/12,1,371,13,4,46,2,2,0
2016/3/13,1,148,11,4,70,1,2,1
2016/3/14,1,323,13,3,14,2,2,1
2016/3/15,1,317,14,4,14,2,2,0
2016/3/16,1,321,18,6,20,2,2,1
2016/3/17,1,388,15,9,46,1,2,0
2016/3/18,1,343,18,11,66,8,2,0
2016/3/19,1,308,19,7,14,2,2,1
2016/3/20,1,283,17,6,14,1,2,1
2016/3/21,1,331,17,6,14,1,2,1
2016/3/22,1,293,16,9,20,2,2,0
2016/3/23,1,334,14,4,14,1,2,0
2016/3/24,1,363,12,3,14,1,2,0
2016/3/25,1,310,15,3,14,1,2,1
2016/3/26,1,137,15,5,70,8,2,0
2016/3/27,1,97,18,7,58,10,2,0
2016/3/28,1,296,20,9,14,9,2,0
2016/3/29,1,375,20,13,14,9,2,2
2016/3/30,1,375,21,12,73,9,2,0
2016/3/31,1,350,20,10,19,9,2,0
2016/4/1,1,353,24,14,14,2,2,0
2016/4/2,1,315,19,13,95,1,2,1
2016/4/3,1,101,14,9,90,1,2,1
2016/4/4,1,64,18,10,14,1,2,0
2016/4/5,1,234,16,11,87,2,2,0
2016/4/6,1,267,14,12,0,8,2,2
2016/4/7,1,335,20,10,70,9,2,0
2016/4/8,1,328,23,13,14,2,2,1
2016/4/9,1,279,25,13,14,2,2,0
2016/4/10,1,159,26,11,14,1,2,0
2016/4/11,1,393,21,12,20,2,2,1
2016/4/12,1,35,23,14,14,2,2,0
2016/4/13,1,321,27,16,14,2,2,0
2016/4/14,1,194,27,15,14,2,2,0
2016/4/15,1,375,25,16,17,2,2,0
2016/4/16,1,382,20,12,3,8,2,1
2016/4/17,1,387,20,11,66,1,2,0
2016/4/18,1,354,22,12,14,9,2,1
2016/4/19,1,341,24,15,22,2,2,0
2016/4/20,1,31,18,14,32,8,2,2
2016/4/21,1,363,25,15,14,9,2,0
2016/4/22,1,437,27,16,22,2,2,0
2016/4/23,1,409,18,13,50,2,2,0
2016/4/24,1,118,21,13,70,1,2,2
2016/4/25,1,328,20,13,66,2,2,0
2016/4/26,1,462,17,12,49,1,2,1
2016/4/27,1,331,17,11,88,8,2,0
2016/4/28,1,368,23,12,14,8,2,1
2016/4/29,1,364,27,15,58,9,2,0
2016/4/30,1,317,29,17,60,2,2,2
2016/5/1,1,123,30,20,22,2,2,0
2016/5/2,1,143,26,16,1,2,2,0
2016/5/3,1,323,25,14,58,9,2,0
2016/5/4,1,295,30,20,20,2,2,0
2016/5/5,1,326,25,20,10,9,2,2
2016/5/6,1,271,28,17,14,1,2,0
2016/5/7,1,240,19,15,73,1,2,1
2016/5/8,1,236,17,13,85,2,2,0
2016/5/9,1,425,20,15,85,1,2,0
2016/5/10,1,389,21,13,19,8,2,0
2016/5/11,1,342,27,16,58,2,2,0
2016/5/12,1,275,30,16,14,2,2,0
2016/5/13,1,396,20,15,70,1,2,1
2016/5/14,1,393,26,16,20,2,2,0
2016/5/15,1,108,18,13,7,8,2,2
2016/5/16,1,348,25,13,58,2,2,0
2016/5/17,1,353,26,14,14,2,2,0
2016/5/18,1,367,25,14,14,1,2,0
2016/5/19,1,361,27,17,14,2,2,0
2016/5/20,1,390,24,17,72,1,2,0
2016/5/21,1,228,19,16,9,1,2,0
2016/5/22,1,90,19,15,50,8,2,0
2016/5/23,1,243,23,17,73,9,2,0
2016/5/24,1,265,26,17,70,9,2,0
2016/5/25,1,162,29,21,22,9,2,1
2016/5/26,1,357,26,20,98,9,2,1
2016/5/27,1,382,23,19,6,1,2,0
2016/5/28,1,362,21,19,85,2,2,0
2016/5/29,1,88,24,17,70,2,2,0
2016/5/30,1,299,27,20,18,2,2,1
2016/5/31,1,296,29,21,97,1,2,0
2016/6/1,1,321,21,16,50,2,2,0
2016/6/2,1,393,22,18,21,1,2,0
2016/6/3,1,366,23,18,85,1,2,2
2016/6/4,1,344,22,16,70,8,2,0
2016/6/5,1,276,26,18,14,2,2,1
2016/6/6,1,257,27,19,95,1,2,1
2016/6/7,1,293,26,21,94,1,2,0
2016/6/8,1,288,24,19,88,1,2,1
2016/6/9,1,89,25,19,66,1,2,0
2016/6/10,1,291,27,22,14,1,2,0
2016/6/11,1,348,30,23,76,8,2,0
2016/6/12,1,256,26,20,96,2,2,0
2016/6/13,1,213,31,22,14,2,2,0
2016/6/14,1,353,33,25,20,9,2,0
2016/6/15,1,389,30,22,99,8,2,1
2016/6/16,1,285,30,20,19,9,2,0
2016/6/17,1,411,32,23,60,2,2,0
2016/6/18,1,327,33,25,22,9,2,1
2016/6/19,1,206,32,25,95,2,2,0
2016/6/20,1,348,29,25,94,9,2,1
2016/6/21,1,329,29,24,40,2,2,1
2016/6/22,1,323,31,25,29,9,2,0
2016/6/23,1,480,33,27,99,9,2,0
2016/6/24,1,443,27,21,9,9,2,0
2016/6/25,1,326,27,20,88,9,2,1
2016/6/26,1,349,29,21,18,2,2,1
2016/6/27,1,404,22,19,42,1,2,0
2016/6/28,1,364,25,21,39,9,2,2
2016/6/29,1,434,28,22,70,2,2,1
2016/6/30,1,317,33,25,22,2,2,1
2016/7/1,1,262,26,23,28,2,2,0
2016/7/2,1,253,26,22,2,2,2,1
2016/7/3,1,125,25,22,64,2,2,0
2016/7/4,1,276,27,22,8,2,2,0
2016/7/5,1,377,28,23,94,0,2,0
2016/7/6,1,460,28,25,9,0,2,0
2016/7/7,1,492,30,24,96,0,2,0
2016/7/8,1,324,32,24,70,0,2,1
2016/7/9,1,299,31,24,20,0,2,1
2016/7/10,1,200,28,24,95,0,2,0
2016/7/11,1,333,29,24,90,0,2,1
2016/7/12,1,340,32,26,20,1,2,0
2016/7/13,1,399,32,26,11,9,2,0
2016/7/14,1,443,29,26,13,3,2,1
2016/7/15,1,531,33,22,4,10,2,0
2016/7/16,1,504,29,22,14,2,2,2
2016/7/17,1,461,32,24,27,2,2,0
2016/7/18,1,536,32,26,66,3,2,0
2016/7/19,1,493,32,26,94,5,2,1
2016/7/20,1,562,36,28,58,5,2,0
2016/7/21,1,503,37,29,14,10,2,0
2016/7/22,1,423,37,29,58,5,2,0
2016/7/23,1,516,38,30,58,9,2,0
2016/7/24,1,316,38,30,58,9,2,0
2016/7/25,1,554,38,29,58,2,2,0
2016/7/26,1,500,39,30,58,2,2,1
2016/7/27,1,543,38,30,14,4,2,0
2016/7/28,1,491,38,29,58,9,2,1
2016/7/29,1,537,38,30,58,2,2,0
2016/7/30,1,509,37,28,58,3,2,0
2016/7/31,1,459,36,27,14,2,2,0
2016/8/1,1,467,35,27,58,2,1,0
2016/8/2,1,551,35,27,94,2,5,0
2016/8/3,1,489,32,25,94,8,0,0
2016/8/4,1,519,33,26,94,2,0,0
2016/8/5,1,614,33,26,94,3,1,0
2016/8/6,1,576,33,26,94,2,1,0
2016/8/7,1,510,34,26,14,3,1,0
2016/8/8,1,498,35,26,94,3,5,0
2016/8/9,1,542,34,27,14,3,5,0
2016/8/10,1,517,33,27,85,3,5,0
2016/8/11,1,473,35,27,14,3,1,0
2016/8/12,1,548,35,27,14,3,5,0
2016/8/13,1,448,36,28,14,3,5,1
2016/8/14,1,305,35,27,58,3,1,0
2016/8/15,1,574,35,27,58,3,5,1
2016/8/16,1,620,34,26,14,3,1,0
2016/8/17,1,155,34,26,14,1,5,0
2016/8/18,1,583,35,28,58,3,1,1
2016/8/19,1,615,36,28,58,3,1,1
2016/8/20,1,451,36,27,94,2,16,0
2016/8/21,1,210,31,26,94,2,0,0
2016/8/22,1,351,34,27,14,1,1,1
2016/8/23,1,443,34,24,14,1,1,0
